date,category,name,amount,remark,buildingName,roomNo,sourceSheet
2024-01-01,人工,工资,5000.0,保洁+门卫2人工资,,,1月耗材
2024-01-01,维修采购,陪热水器软管,780.0,64根,,,1月耗材
2024-01-01,维修采购,热水器接头,88.0,热水器接头,,,1月耗材
2024-01-01,人工,工资,2000.0,水电工工资,,,1月耗材
2024-01-02,垃圾费,垃圾费,600.0,12月份垃圾费,,,1月耗材
2024-01-02,维修采购,空调接长插座,40.0,4个,,,1月耗材
2024-01-02,维修采购,洗衣机,3912.0,4台,,,1月耗材
2024-11-01,人工,工资,5000.0,保洁2人工资,,,11月耗材
2024-11-01,人工,工资,2400.0,水电工工资,,,11月耗材
2024-11-01,维修采购,洗衣机,949.0,放置空房间,,,11月耗材
2024-11-01,其他,保洁铲刀,24.0,三把铲刀1盒刀片,,,11月耗材
2024-11-01,其他,卫生间三角置物架,124.74,放置空房间10套,,,11月耗材
2024-11-01,其他,厨房水槽,504.0,放置空房间4套,,,11月耗材
2024-11-01,其他,软管配件,425.0,安装热水器,,,11月耗材
2024-11-01,其他,踢脚线,280.0,安装房间踢脚线,,,11月耗材
2024-11-01,其他,钻头,30.0,工具上用,,,11月耗材
2024-11-01,维修采购,席梦思床垫,3400.0,放置空房间10床,,,11月耗材
2024-11-02,其他,下水道密封圈,71.1,11个密封下水管防臭,,,11月耗材
2024-11-02,其他,洗脸池一体,2854.0,10套安装空房间,,,11月耗材
2024-11-02,其他,下水道密封圈,27.55,10个密封下水管防臭,,,11月耗材
2024-11-02,其他,不锈钢置物架,1600.0,安装空房间,,,11月耗材
2024-11-03,其他,浴室置物架,281.2,20套安装空房间,,,11月耗材
2024-11-05,维修采购,买踢脚线+胶水+钉,1358.0,安装空置房间,,,11月耗材
2024-11-05,其他,大理石台面,5000.0,一共欠20186付了5000,,,11月耗材
2024-11-05,其他,桌子,688.5,5张放置空房间,,,11月耗材
2024-11-05,其他,椅子,218.0,5张放置空房间,,,11月耗材
2024-11-06,其他,漏油器收纳盒,207.9,20套安装空房间,,,11月耗材
2024-11-06,其他,合同簿,47.5,5本签合同用,,,11月耗材
2024-11-07,其他,电瓶车充电桩,2020.0,15台安装充电桩,,,11月耗材
2024-11-08,其他,停车位划线,692.0,划停车线,,,11月耗材
2024-11-08,其他,水池快递费,84.0,水池快递费,,,11月耗材
2024-11-08,其他,门卫室生态板,260.0,安装门卫室,,,11月耗材
2024-11-09,维修采购,热水器,3492.0,9台热水器,,,11月耗材
2024-11-09,维修采购,木工家具,20000.0,做家具费,,,11月耗材
2024-11-11,维修采购,洗衣机水管,195.0,接长管子,,,11月耗材
2024-11-11,维修采购,床板物流费,60.0,床板物流费,,,11月耗材
2024-11-11,其他,踢脚线,140.0,踢脚线,,,11月耗材
2024-11-11,其他,结构胶,180.0,结构胶1箱,,,11月耗材
2024-11-11,其他,安装充电桩线路,470.0,安装充电桩,,,11月耗材
2024-11-12,人工,给老杨工资,10000.0,工资,,,11月耗材
2024-11-13,维修采购,洗衣机,949.0,安装空房间,,,11月耗材
2024-11-14,维修采购,洗衣机,919.0,安装空房间,,,11月耗材
2024-11-15,维修采购,买玻璃胶,320.0,打厨房洗水池,,,11月耗材
2024-11-16,维修采购,洗衣机,919.0,安装空房间,,,11月耗材
2024-11-18,其他,钢丝绳,120.0,安装晾衣架,,,11月耗材
2024-11-18,维修采购,洗衣机,919.0,安装空房间,,,11月耗材
2024-11-20,维修采购,空调费,20000.0,空调费,,,11月耗材
2024-11-20,其他,灭火器,1260.0,12个灭火器,,,11月耗材
2024-11-20,其他,晾衣钢丝,112.0,晾衣服,,,11月耗材
2024-11-20,维修采购,冰箱,346.81,安装空房间,,,11月耗材
2024-11-20,垃圾费,盖垃圾房材料费,668.0,方管 彩钢瓦 马腿,,,11月耗材
2024-11-20,维修采购,洗衣机,919.0,安装空房间,,,11月耗材
2024-11-20,维修采购,洗衣机,949.0,安装空房间,,,11月耗材
2024-11-21,维修采购,冰箱,346.81,安装空房间,,,11月耗材
2024-11-21,维修采购,洗衣机,919.0,安装空房间,,,11月耗材
2024-11-21,其他,电焊机焊条,300.0,电焊机焊条,,,11月耗材
2024-11-22,垃圾费,垃圾房彩钢瓦拉杆,180.0,垃圾房彩钢瓦拉杆,,,11月耗材
2024-11-24,其他,拉晾衣架材料,520.0,拉晾衣架材料,,,11月耗材
2024-11-26,维修采购,买路灯,394.0,安装路灯,,,11月耗材
2024-11-26,其他,拉晾衣架材料,86.0,拉晾衣架材料,,,11月耗材
2024-11-26,维修采购,洗衣机,919.0,安装空房间,,,11月耗材
2024-11-26,维修采购,洗衣机,949.0,安装空房间,,,11月耗材
2024-11-26,维修采购,冰箱,1784.09,安装空房间5台,,,11月耗材
2024-11-26,维修采购,热水器,3880.0,安装空房间10台,,,11月耗材
2024-11-27,其他,防臭地漏,14.7,安装,,,11月耗材
2024-11-27,其他,美缝胶,280.0,打胶,,,11月耗材
2024-11-27,其他,广角镜,169.0,安装大门口,,,11月耗材
2024-11-27,其他,种花台子,299.2,大门种植,,,11月耗材
2024-11-27,其他,太阳能照明,349.0,安装路灯,,,11月耗材
2024-11-27,其他,晾衣绳,30.92,安装晾衣架,,,11月耗材
2024-12-01,人工,工资,5000.0,保洁+门卫2人工资,,,12月耗材
2024-12-01,人工,工资,2000.0,水电工工资,,,12月耗材
2024-12-01,其他,地图费用,80.0,网上搜索地图费用,,,12月耗材
2024-12-01,其他,电梯费,20000.0,电梯费,,,12月耗材
2024-12-02,其他,卫生间洗漱台盆,118.7,安装空房间,,,12月耗材
2024-12-04,其他,踢脚线,386.0,做踢脚线,,,12月耗材
2024-12-05,其他,手枪钻,180.0,手枪钻,,,12月耗材
2024-12-05,其他,门帘,48.5,门卫室,,,12月耗材
2024-12-06,网络,网费,3304.8,9月10月月11月,,,12月耗材
2024-12-06,其他,安装电子门订金,1000.0,大门,,,12月耗材
2024-12-06,其他,卫生间洗漱台盆,1173.63,安装空房间10套,,,12月耗材
2024-12-06,维修采购,洗衣机,919.0,安装空房间,,,12月耗材
2024-12-06,维修采购,冰箱,1790.0,安装空房间5台,,,12月耗材
2024-12-06,维修采购,洗衣机,919.0,安装空房间,,,12月耗材
2024-12-06,维修采购,洗衣机,1956.0,安装空房间2台,,,12月耗材
2024-12-07,维修采购,洗衣机,1956.0,安装空房间2台,,,12月耗材
2024-12-07,维修采购,冰箱,1275.8,安装空房间2台,,,12月耗材
2024-12-07,其他,桌子,173.85,安装空房间3张,,,12月耗材
2024-12-07,其他,凳子,161.57,安装空房间3张,,,12月耗材
2024-12-07,其他,水龙头,100.0,安装空房间,,,12月耗材
2024-12-08,其他,浴室储物架,210.9,安装空房间15套,,,12月耗材
2024-12-08,维修采购,床垫,575.0,安装空房间5套,,,12月耗材
2024-12-09,其他,地漏,279.0,49个安装洗漱台用,,,12月耗材
2024-12-09,其他,水龙头,114.0,两个,,,12月耗材
2024-12-09,其他,花箱,919.4,4个花箱,,,12月耗材
2024-12-10,其他,铁管,240.0,做晾衣架,,,12月耗材
2024-12-10,维修采购,热水器,1940.0,安装空房间5台,,,12月耗材
2024-12-10,维修采购,洗衣机,978.0,安装空房间,,,12月耗材
2024-12-11,维修采购,洗衣机,3912.0,安装空房间4台,,,12月耗材
2024-12-11,其他,桌子,177.77,安装空房间3张,,,12月耗材
2024-12-11,其他,椅子,153.5,安装空房间3张,,,12月耗材
2024-12-11,维修采购,床垫,1840.0,床垫,,,12月耗材
2024-12-11,其他,大理石台面,5000.0,厨房大理石台面,,,12月耗材
2024-12-12,其他,门卫室订做,18500.0,门卫室订做还欠20000,,,12月耗材
2024-12-12,其他,洗漱台,1173.63,安装空房间10套,,,12月耗材
2024-12-13,人工,老杨工资,5000.0,工资,,,12月耗材
2024-12-14,维修采购,冰箱,1790.0,安装空房间5台,,,12月耗材
2024-12-14,其他,门禁门,4800.0,大门处,,,12月耗材
2024-12-15,其他,划线油漆 钻头,93.0,划线油漆 钻头,,,12月耗材
2024-12-16,其他,洗漱池,1105.59,安装空房间10套,,,12月耗材
2024-12-16,其他,运费,160.0,床垫物流,,,12月耗材
2024-12-16,其他,快递货架,500.0,快递货架2个,,,12月耗材
2024-12-17,维修采购,洗衣机,2934.0,3台,,,12月耗材
2024-12-17,其他,桌子,630.0,10张,,,12月耗材
2024-12-17,其他,椅子,95.0,4张,,,12月耗材
2024-12-17,维修采购,热水器,1940.0,5台,,,12月耗材
2024-12-20,其他,去污碱,38.89,10斤打扫卫生,,,12月耗材
2024-12-20,维修采购,家具费,20000.0,还欠8万,,,12月耗材
2024-12-20,维修采购,空调费,20000.0,空调费,,,12月耗材
2024-12-21,维修采购,洗衣机,978.0,1台,,,12月耗材
2024-12-22,其他,指示牌,1750.0,指示牌,,,12月耗材
2024-12-22,维修,换气扇,500.0,换气扇,,,12月耗材
2024-12-23,维修采购,洗衣机,1956.0,2台,,,12月耗材
2024-12-23,其他,窗户隔音条,58.0,窗户隔音条,,,12月耗材
2024-12-25,维修采购,冰箱,1790.0,5台,,,12月耗材
2024-12-25,维修采购,洗衣机,1956.0,2台,,,12月耗材
2024-12-25,其他,灯泡接线,20.0,快递接线灯泡,,,12月耗材
2024-12-25,其他,椅子,188.16,8把,,,12月耗材
2024-12-25,其他,桌子,630.0,10张,,,12月耗材
2024-12-26,维修采购,洗衣机,1956.0,2台,,,12月耗材
2025-01-01,人工,工资,2000.0,水电工工资,,,1月耗材1
2025-01-01,人工,工资,5000.0,保洁+门卫2人工资,,,1月耗材1
2025-01-01,垃圾费,垃圾费,1000.0,垃圾费,,,1月耗材1
2025-01-04,其他,卫生间置物架,210.0,15个,,,1月耗材
2025-01-04,其他,路由器收纳盒,155.93,30个,,,1月耗材
2025-01-04,其他,不锈钢毛巾架,630.0,20个,,,1月耗材
2025-01-07,其他,门卫室铝合金门,2725.0,门卫室铝合金门,,,1月耗材
2025-01-13,其他,洗脸池,2201.0,20套,,,1月耗材
2025-01-15,维修采购,家具,40000.0,家具还欠4万,,,1月耗材
2025-01-18,其他,电梯费,19000.0,还欠2万,,,1月耗材
2025-01-20,维修采购,空调费,16335.0,还欠1万,,,1月耗材
2025-01-25,垃圾费,垃圾费,600.0,1月份垃圾费,,,1月耗材
2025-02-01,人工,工资,2000.0,水电工工资,,,2月耗材
2025-02-01,人工,工资,5000.0,保洁+门卫2人工资,,,2月耗材
2025-02-03,维修采购,冰箱大,2004.0,3台,,,2月耗材
2025-02-03,维修采购,冰箱小,1104.0,3台,,,2月耗材
2025-02-04,其他,门卫室,10000.0,还欠1万,,,2月耗材
2025-02-04,其他,大理石,10000.0,付齐,,,2月耗材
2025-02-05,维修采购,洗衣机康佳,919.0,1台,,,2月耗材
2025-02-05,维修采购,洗衣机康佳,949.0,1台,,,2月耗材
2025-02-06,其他,卫具洗脸池,1100.0,10套,,,2月耗材
2025-02-06,网络,网费,1079.97,1月份网费,,,2月耗材
2025-02-06,网络,网费,180.0,新加6户开通3个月（11.12.1）,,,2月耗材
2025-02-06,维修采购,洗衣机TCL,833.0,1台,,,2月耗材
2025-02-07,维修采购,洗衣机TCL,917.0,1台,,,2月耗材
2025-02-07,维修采购,洗衣机TCL,913.0,1台,,,2月耗材
2025-02-08,维修采购,热水器,1940.0,5台,,,2月耗材
2025-02-10,维修采购,冰箱小,1840.0,5台,,,2月耗材
2025-02-10,维修采购,冰箱大,3445.0,5台,,,2月耗材
2025-02-12,维修采购,家具,10000.0,还欠3万,,,2月耗材
2025-02-12,维修采购,康佳洗衣机,4890.0,5台,,,2月耗材
2025-02-12,其他,太阳花,93.65,种植花坛里,,,2月耗材
2025-02-12,其他,绿化土500斤,205.0,种花,,,2月耗材
2025-02-14,维修采购,床垫,147.7,1床,,,2月耗材
2025-02-15,其他,充电桩锂电池,523.0,6路,,,2月耗材
2025-02-16,其他,绿化土200斤,80.8,种植花坛里,,,2月耗材
2025-02-16,维修采购,冰箱,2590.0,5台,,,2月耗材
2025-02-16,维修采购,洗衣机TCL,908.0,1台,,,2月耗材
2025-02-16,其他,桌子,123.3,10张,,,2月耗材
2025-02-16,维修采购,家具,10000.0,还欠2万,,,2月耗材
2025-02-18,维修采购,洗衣机TCL,4534.16,5台,,,2月耗材
2025-02-18,其他,桌子,901.6,10张,,,2月耗材
2025-02-18,维修采购,床垫,796.4,5床,,,2月耗材
2025-02-19,维修采购,冰箱,3245.0,5台,,,2月耗材
2025-02-19,其他,洗脸池,141.0,1套,,,2月耗材
2025-02-19,维修采购,洗衣机TCL,885.7,1台,,,2月耗材
2025-02-21,维修采购,洗衣机TCL,9068.31,10台,,,2月耗材
2025-02-21,其他,椅子,368.28,6张,,,2月耗材
2025-02-21,维修采购,热水器,3880.0,10台,,,2月耗材
2025-02-22,维修采购,床垫,288.0,1床,,,2月耗材
2025-02-22,其他,桌子,370.0,3张,,,2月耗材
2025-02-22,其他,路由器收纳盒,39.73,6个,,,2月耗材
2025-02-22,其他,洗脸池,474.0,2套,,,2月耗材
2025-02-23,维修采购,冰箱,3245.0,5台,,,2月耗材
2025-02-24,其他,生胶带,60.0,30卷,,,2月耗材
2025-02-24,维修采购,洗衣机TCL,4534.16,5台,,,2月耗材
2025-02-24,其他,花洒,20.0,1个,,,2月耗材
2025-02-24,其他,桌子,505.68,6张,,,2月耗材
2025-02-24,其他,三角阀,490.0,47个,,,2月耗材
2025-02-26,维修采购,床单,55.0,2个打样,,,2月耗材
2025-02-26,维修采购,洗衣机TCL,4534.16,5台,,,2月耗材
2025-02-26,维修采购,冰箱,3108.0,6台,,,2月耗材
2025-02-26,维修采购,床头靠垫,39.9,1个打样,,,2月耗材
2025-03-01,人工,工资,5000.0,保洁+门卫2人工资,,,3月耗材
2025-03-01,人工,工资,2000.0,水电工工资,,,3月耗材
2025-03-01,垃圾费,垃圾费,600.0,3月份,,,3月耗材
2025-03-02,维修采购,热水器,3104.0,8台,,,3月耗材
2025-03-02,其他,椅子,521.8,10个,,,3月耗材
2025-03-05,网络,网费,1126.8,2月份网费,,,3月耗材
2025-03-06,其他,水池,142.0,洗拖把池子,,,3月耗材
2025-03-06,其他,水管,40.0,水管,,,3月耗材
2025-03-06,其他,三角阀,170.0,17个,,,3月耗材
2025-03-06,其他,胶水,120.0,打胶洗脸池开裂,,,3月耗材
2025-03-06,其他,三角阀,50.0,5个,,,3月耗材
2025-03-06,其他,胶枪,12.0,打胶,,,3月耗材
2025-03-08,维修采购,洗衣机,6368.61,7台,,,3月耗材
2025-03-08,维修采购,热水器,1164.0,3台,,,3月耗材
2025-03-11,其他,水卫士,59.8,清洁打扫房间,,,3月耗材
2025-03-11,维修采购,冰箱,4647.0,7台,,,3月耗材
2025-03-12,其他,凳子,329.67,5个,,,3月耗材
2025-03-12,其他,监控,20000.0,安装监控,,,3月耗材
2025-03-13,其他,水池快递费,55.0,水池快递费,,,3月耗材
2025-03-16,其他,氛围灯,55.1,R219客户需求,,,3月耗材
2025-03-16,其他,电池,18.0,门锁换电池,,,3月耗材
2025-03-16,其他,消防垫资,2500.0,消防垫资,,,3月耗材
2025-03-17,维修采购,家具,10000.0,还欠1万,,,3月耗材
2025-03-17,其他,电梯,20000.0,结清,,,3月耗材
2025-03-19,其他,窗帘垫资,18346.0,窗帘垫资,,,3月耗材
2025-03-22,其他,停车棚材料费,3540.0,停车棚材料费,,,3月耗材
2025-03-22,其他,快递货架,262.0,快递货架,,,3月耗材
2025-03-23,其他,氛围灯,55.1,R207客户需求,,,3月耗材
2025-03-23,其他,三角阀,200.0,三角阀,,,3月耗材
2025-03-25,其他,纱窗,260.0,R314客户需求,,,3月耗材
2025-03-25,其他,送礼警察,2000.0,送礼警察,,,3月耗材
2025-03-25,垃圾费,垃圾费,800.0,4月份提前付垃圾多加200,,,3月耗材
2025-04-01,其他,电梯油,150.0,电梯油,,,4月耗材
2025-04-01,水电,水电工费用,20000.0,水电工费用,,,4月耗材
2025-04-01,其他,垫资窗帘,20000.0,垫资窗帘,,,4月耗材
2025-04-01,人工,工资,5000.0,保洁+门卫2人工资,,,4月耗材
2025-04-01,人工,工资,2000.0,水电工工资,,,4月耗材
2025-04-02,人工,给老杨工资,10000.0,给老杨工资,,,4月耗材
2025-04-02,其他,椅子,166.32,3把,,,4月耗材
2025-04-03,其他,南孚电池,10.0,调换412没电了,,,4月耗材
2025-04-05,其他,南孚电池,38.9,调换门锁电池,,,4月耗材
2025-04-05,维修采购,床垫,121.0,S412加床少床垫,,,4月耗材
2025-04-06,维修采购,冰箱,517.48,S405没有冰箱,,,4月耗材
2025-04-08,其他,胶水,270.0,胶水,,,4月耗材
2025-04-10,网络,网费,1140.0,3月份网费,,,4月耗材
2025-04-13,维修采购,冰箱,50.0,S405客户冰箱卖给我,,,4月耗材
2025-04-13,其他,水泵,2890.0,水泵,,,4月耗材
2025-04-14,维修采购,热水器,3880.0,10台,,,4月耗材
2025-04-15,其他,三角阀全铜50个,800.0,三角阀全铜50个,,,4月耗材
2025-04-16,维修采购,家具,10000.0,家具付齐,,,4月耗材
2025-04-17,水电,水电工费用,10000.0,水电工费用,,,4月耗材
2025-04-17,其他,钛金板订金,1000.0,钛金板订金,,,4月耗材
2025-04-18,维修采购,空调费,10000.0,结清,,,4月耗材
2025-04-18,其他,抚慰金,250.0,R107,R栋,R107,4月耗材
2025-04-19,其他,门订金,5000.0,门订金,,,4月耗材
2025-04-19,垃圾费,垃圾费,2200.0,清运垃圾,,,4月耗材
2025-04-22,其他,钛金板费,9350.0,钛金板费,,,4月耗材
2025-04-23,其他,洗水池订金,1360.0,洗水池订金,,,4月耗材
2025-04-23,其他,油烟机,2889.9,10台,,,4月耗材
2025-04-23,维修采购,家具订金,5000.0,家具订金,,,4月耗材
2025-04-23,其他,吊顶订金,5000.0,吊顶订金,,,4月耗材
2025-04-24,其他,椅子,609.84,11把,,,4月耗材
2025-04-26,垃圾费,垃圾费,800.0,5月垃圾费,,,4月耗材
2025-04-26,其他,钛金板运费叉车费,1327.0,钛金板运费叉车费,,,4月耗材
2025-04-27,其他,踢脚线 线条发泡剂,1673.0,踢脚线 线条发泡剂,,,4月耗材
2025-04-27,其他,结构胶 枪钉,1190.0,结构胶 枪钉,,,4月耗材
2025-05-01,人工,工资,5000.0,保洁+门卫2人工资,,,5月耗材
2025-05-01,人工,工资,2000.0,水电工工资,,,5月耗材
2025-05-02,其他,工字线,840.0,工字线,,,5月耗材
2025-05-02,其他,发泡剂 枪钉,220.0,发泡剂 枪钉,,,5月耗材
2025-05-02,其他,水池快递费,72.0,水池快递费,,,5月耗材
2025-05-02,其他,结构胶,460.0,结构胶,,,5月耗材
2025-05-06,其他,卫生间一体洗手池台,2633.4,卫生间一体洗手池台（10台）,,,5月耗材
2025-05-06,其他,门牌号,120.0,门牌号10个,,,5月耗材
2025-05-06,其他,岩石板桌子,295.02,2张,,,5月耗材
2025-05-06,其他,岩石板桌子,1481.04,8张,,,5月耗材
2025-05-07,网络,网费,1140.0,网费,,,5月耗材
2025-05-07,其他,线条,354.0,线条,,,5月耗材
2025-05-07,其他,混水阀 花洒,1750.0,混水阀 花洒,,,5月耗材
2025-05-07,其他,油烟机钉子,50.0,油烟机钉子,,,5月耗材
2025-05-07,其他,开孔器,60.0,开孔器,,,5月耗材
2025-05-07,其他,抱箍,50.0,抱箍,,,5月耗材
2025-05-07,其他,门套,260.0,门套,,,5月耗材
2025-05-07,维修采购,家具费,5000.0,家具费,,,5月耗材
2025-05-07,维修采购,床 床垫 床头柜,9200.0,床 床垫 各10床头柜12,,,5月耗材
2025-05-07,其他,踢脚线,900.0,踢脚线,,,5月耗材
2025-05-08,其他,钛金板安装费510平,11220.0,钛金板安装费510平,,,5月耗材
2025-05-08,其他,瓦工费,40000.0,瓦工费,,,5月耗材
2025-05-09,其他,路由器收纳盒,146.3,路由器收纳盒18个,,,5月耗材
2025-05-09,其他,毛巾架17个,557.6,毛巾架17个,,,5月耗材
2025-05-09,其他,卫生间置物架,203.15,卫生间置物架18个,,,5月耗材
2025-05-10,其他,吊顶,6000.0,吊顶,,,5月耗材
2025-05-10,其他,卫生间一体洗手池台,200.0,卫生间一体洗手池台,,,5月耗材
2025-05-11,维修采购,冰箱,6012.0,9台,,,5月耗材
2025-05-11,维修采购,TCL洗衣机,8190.0,TCL洗衣机9台,,,5月耗材
2025-05-11,其他,钢丝球清洁1包,28.99,钢丝球清洁1包,,,5月耗材
2025-05-11,维修采购,卫生间去除马桶污渍,9.55,卫生间去除马桶污渍,,,5月耗材
2025-05-11,其他,鸿翼垫资监控,10000.0,鸿翼垫资监控,,,5月耗材
2025-05-12,维修采购,家具费,28000.0,家具费付齐,,,5月耗材
2025-05-12,水电,水电工,14000.0,水电工10间付齐,,,5月耗材
2025-05-13,维修采购,洗衣机接管 美缝胶,636.0,洗衣机接管 美缝胶,,,5月耗材
2025-05-13,其他,橡皮泥,20.9,橡皮泥,,,5月耗材
